time,T_out,RH_out,I_solar,wind,rain,cloud
2024-01-01 00:00:00,17.9,88,0.0,2.05,0.0,3
2024-01-01 01:00:00,18.5,87,0.0,1.61,0.0,3
2024-01-01 02:00:00,17.9,89,0.0,1.61,0.0,2
2024-01-01 03:00:00,17.2,90,0.0,1.49,0.0,3
2024-01-01 04:00:00,17.7,89,0.0,1.21,0.0,2
2024-01-01 05:00:00,17.4,91,0.0,1.22,0.0,0
2024-01-01 06:00:00,15.5,100,2.0,1.36,0.0,99
2024-01-01 07:00:00,16.7,97,59.0,1.92,0.0,100
2024-01-01 08:00:00,17.8,92,161.0,1.68,0.0,46
2024-01-01 09:00:00,20.0,82,351.0,1.3,0.0,21
2024-01-01 10:00:00,21.8,72,480.0,1.49,0.0,0
2024-01-01 11:00:00,23.3,63,543.0,1.36,0.0,0
2024-01-01 12:00:00,24.3,58,541.0,0.86,0.0,0
2024-01-01 13:00:00,25.0,55,475.0,1.04,0.0,1
2024-01-01 14:00:00,25.0,53,357.0,1.39,0.0,1
2024-01-01 15:00:00,24.2,56,202.0,1.52,0.0,2
2024-01-01 16:00:00,21.3,68,60.0,2.09,0.0,11
2024-01-01 17:00:00,22.0,59,1.0,0.92,0.0,11
2024-01-01 18:00:00,19.5,76,0.0,1.7,0.0,8
2024-01-01 19:00:00,19.1,82,0.0,2.2,0.0,18
2024-01-01 20:00:00,19.1,81,0.0,2.36,0.0,12
2024-01-01 21:00:00,18.5,83,0.0,1.92,0.0,4
2024-01-01 22:00:00,17.2,91,0.0,1.72,0.0,10
2024-01-01 23:00:00,17.2,91,0.0,1.7,0.0,5
2024-01-02 00:00:00,18.7,85,0.0,1.14,0.0,4
2024-01-02 01:00:00,18.6,86,0.0,0.81,0.0,5
2024-01-02 02:00:00,18.2,90,0.0,1.12,0.0,3
2024-01-02 03:00:00,17.4,96,0.0,1.51,0.0,4
2024-01-02 04:00:00,16.6,100,0.0,1.6,0.0,96
2024-01-02 05:00:00,16.6,99,0.0,1.28,0.0,43
2024-01-02 06:00:00,14.9,100,2.0,1.98,0.0,7
2024-01-02 07:00:00,17.0,94,70.0,0.85,0.0,5
2024-01-02 08:00:00,18.8,85,214.0,0.76,0.0,4
2024-01-02 09:00:00,20.5,78,364.0,0.67,0.0,0
2024-01-02 10:00:00,22.0,72,480.0,1.2,0.0,0
2024-01-02 11:00:00,23.2,66,539.0,1.4,0.0,0
2024-01-02 12:00:00,24.2,60,537.0,1.58,0.0,8
2024-01-02 13:00:00,24.7,56,469.0,1.97,0.0,3
2024-01-02 14:00:00,24.8,55,353.0,2.2,0.0,2
2024-01-02 15:00:00,24.0,58,201.0,2.33,0.0,3
2024-01-02 16:00:00,21.1,69,61.0,1.88,0.0,9
2024-01-02 17:00:00,19.3,77,1.0,2.56,0.0,9
2024-01-02 18:00:00,21.3,68,0.0,0.45,0.0,3
2024-01-02 19:00:00,20.7,71,0.0,0.64,0.0,6
2024-01-02 20:00:00,19.2,81,0.0,1.43,0.0,13
2024-01-02 21:00:00,17.9,89,0.0,2.14,0.0,12
2024-01-02 22:00:00,16.9,92,0.0,2.56,0.0,21
2024-01-02 23:00:00,16.5,94,0.0,2.5,0.0,20
2024-01-03 00:00:00,16.2,94,0.0,2.46,0.0,18
2024-01-03 01:00:00,15.9,95,0.0,2.19,0.0,9
2024-01-03 02:00:00,15.4,96,0.0,2.28,0.0,2
2024-01-03 03:00:00,15.4,96,0.0,2.36,0.0,2
2024-01-03 04:00:00,17.3,91,0.0,1.72,0.0,0
2024-01-03 05:00:00,16.9,95,0.0,1.0,0.0,0
2024-01-03 06:00:00,14.9,100,2.0,0.76,0.0,100
2024-01-03 07:00:00,16.3,97,57.0,0.94,0.0,91
2024-01-03 08:00:00,17.7,87,160.0,0.72,0.0,57
2024-01-03 09:00:00,20.0,77,320.0,0.2,0.0,0
2024-01-03 10:00:00,22.0,70,479.0,1.1,0.0,0
2024-01-03 11:00:00,23.4,63,549.0,1.53,0.0,0
2024-01-03 12:00:00,24.3,58,547.0,1.66,0.0,0
2024-01-03 13:00:00,24.8,54,483.0,1.64,0.0,0
2024-01-03 14:00:00,24.9,52,365.0,2.06,0.0,1
2024-01-03 15:00:00,24.1,56,211.0,1.77,0.0,2
2024-01-03 16:00:00,20.8,70,64.0,1.92,0.0,1
2024-01-03 17:00:00,19.1,79,1.0,2.22,0.0,2
2024-01-03 18:00:00,21.0,70,0.0,0.76,0.0,3
2024-01-03 19:00:00,19.3,80,0.0,1.36,0.0,14
2024-01-03 20:00:00,18.5,87,0.0,1.84,0.0,21
2024-01-03 21:00:00,18.6,82,0.0,3.18,0.0,18
2024-01-03 22:00:00,17.0,92,0.0,1.77,0.0,18
2024-01-03 23:00:00,16.7,92,0.0,1.84,0.0,24
2024-01-04 00:00:00,17.0,90,0.0,2.0,0.0,33
2024-01-04 01:00:00,17.8,92,0.0,0.92,0.0,21
2024-01-04 02:00:00,17.5,95,0.0,0.22,0.0,12
2024-01-04 03:00:00,17.1,98,0.0,0.32,0.0,6
2024-01-04 04:00:00,16.8,100,0.0,0.41,0.0,98
2024-01-04 05:00:00,16.5,100,0.0,0.61,0.0,98
2024-01-04 06:00:00,16.4,98,2.0,0.67,0.0,5
2024-01-04 07:00:00,16.9,98,70.0,0.92,0.0,8
2024-01-04 08:00:00,18.9,88,211.0,0.82,0.0,7
2024-01-04 09:00:00,20.5,79,362.0,1.17,0.0,1
2024-01-04 10:00:00,22.0,72,478.0,1.25,0.0,0
2024-01-04 11:00:00,23.3,65,542.0,1.28,0.0,1
2024-01-04 12:00:00,24.1,59,529.0,1.04,0.0,7
2024-01-04 13:00:00,24.6,54,470.0,0.91,0.0,15
2024-01-04 14:00:00,24.6,51,350.0,1.32,0.0,5
2024-01-04 15:00:00,23.8,56,206.0,1.2,0.0,6
2024-01-04 16:00:00,20.8,68,64.0,1.8,0.0,6
2024-01-04 17:00:00,18.7,79,1.0,2.28,0.0,6
2024-01-04 18:00:00,20.2,72,0.0,1.68,0.0,4
2024-01-04 19:00:00,20.5,73,0.0,1.03,0.0,7
2024-01-04 20:00:00,18.1,85,0.0,1.92,0.0,26
