time,T_out,RH_out,I_solar,wind,rain,cloud
2022-01-01 00:00:00,15.3,87,0.0,1.98,0.0,100
2022-01-01 01:00:00,16.5,83,0.0,1.41,0.0,99
2022-01-01 02:00:00,16.3,85,0.0,1.25,0.0,100
2022-01-01 03:00:00,16.1,86,0.0,0.82,0.0,100
2022-01-01 04:00:00,15.7,87,0.0,0.71,0.0,99
2022-01-01 05:00:00,14.0,99,0.0,0.71,0.0,100
2022-01-01 06:00:00,13.6,100,2.0,0.61,0.0,100
2022-01-01 07:00:00,14.6,98,60.0,0.54,0.0,98
2022-01-01 08:00:00,17.0,84,190.0,0.32,0.0,97
2022-01-01 09:00:00,18.8,75,319.0,0.36,0.0,100
2022-01-01 10:00:00,20.4,68,418.0,0.92,0.0,100
2022-01-01 11:00:00,22.0,63,483.0,1.44,0.0,100
2022-01-01 12:00:00,23.1,58,499.0,1.92,0.0,93
2022-01-01 13:00:00,23.6,54,465.0,2.33,0.0,4
2022-01-01 14:00:00,23.4,52,360.0,2.86,0.0,1
2022-01-01 15:00:00,22.2,58,207.0,2.84,0.0,6
2022-01-01 16:00:00,19.6,68,62.0,2.08,0.0,2
2022-01-01 17:00:00,18.2,75,1.0,2.41,0.0,1
2022-01-01 18:00:00,18.7,71,0.0,1.65,0.0,0
2022-01-01 19:00:00,16.6,82,0.0,1.94,0.0,0
2022-01-01 20:00:00,16.0,85,0.0,2.26,0.0,0
2022-01-01 21:00:00,15.0,89,0.0,2.48,0.0,0
2022-01-01 22:00:00,14.5,91,0.0,2.0,0.0,0
2022-01-01 23:00:00,14.0,93,0.0,1.42,0.0,1
2022-01-02 00:00:00,13.4,96,0.0,1.36,0.0,82
2022-01-02 01:00:00,13.3,96,0.0,1.25,0.0,22
2022-01-02 02:00:00,14.2,96,0.0,0.82,0.0,20
2022-01-02 03:00:00,12.4,100,0.0,0.95,0.0,100
2022-01-02 04:00:00,13.0,100,0.0,0.36,0.0,100
2022-01-02 05:00:00,13.8,100,0.0,0.32,0.0,16
2022-01-02 06:00:00,13.2,100,2.0,0.58,0.0,100
2022-01-02 07:00:00,14.9,89,57.0,1.26,0.0,38
2022-01-02 08:00:00,16.9,73,174.0,0.45,0.0,7
2022-01-02 09:00:00,18.9,66,356.0,0.28,0.0,0
2022-01-02 10:00:00,20.8,61,488.0,0.64,0.0,0
2022-01-02 11:00:00,22.4,57,555.0,1.27,0.0,0
2022-01-02 12:00:00,23.5,53,554.0,1.78,0.0,0
2022-01-02 13:00:00,24.1,49,490.0,2.36,0.0,0
2022-01-02 14:00:00,23.8,48,371.0,2.72,0.0,0
2022-01-02 15:00:00,22.7,54,215.0,1.98,0.0,0
2022-01-02 16:00:00,19.2,70,65.0,2.06,0.0,0
2022-01-02 17:00:00,20.0,63,1.0,1.84,0.0,0
2022-01-02 18:00:00,17.9,74,0.0,0.81,0.0,9
2022-01-02 19:00:00,16.2,85,0.0,1.9,0.0,100
2022-01-02 20:00:00,15.9,89,0.0,1.92,0.0,100
2022-01-02 21:00:00,15.7,90,0.0,2.06,0.0,100
2022-01-02 22:00:00,15.3,91,0.0,2.34,0.0,100
2022-01-02 23:00:00,15.4,90,0.0,2.14,0.0,100
2022-01-03 00:00:00,15.8,88,0.0,1.26,0.0,100
2022-01-03 01:00:00,16.3,88,0.0,0.41,0.0,99
2022-01-03 02:00:00,16.0,89,0.0,0.36,0.0,100
2022-01-03 03:00:00,14.7,93,0.0,0.6,0.0,100
2022-01-03 04:00:00,14.5,93,0.0,0.7,0.0,100
2022-01-03 05:00:00,14.3,100,0.0,1.58,0.0,100
2022-01-03 06:00:00,14.9,98,2.0,0.72,0.0,100
2022-01-03 07:00:00,15.4,95,53.0,1.02,0.0,97
2022-01-03 08:00:00,17.0,85,148.0,1.12,0.0,15
2022-01-03 09:00:00,19.3,75,359.0,0.5,0.0,9
2022-01-03 10:00:00,21.1,67,485.0,0.1,0.0,0
2022-01-03 11:00:00,22.4,62,547.0,0.92,0.0,0
2022-01-03 12:00:00,23.4,57,546.0,1.06,0.0,1
2022-01-03 13:00:00,24.0,54,482.0,1.39,0.0,3
2022-01-03 14:00:00,24.0,52,363.0,1.62,0.0,5
2022-01-03 15:00:00,23.1,54,209.0,1.7,0.0,11
2022-01-03 16:00:00,20.3,63,63.0,1.73,0.0,11
2022-01-03 17:00:00,20.7,61,1.0,1.44,0.0,22
2022-01-03 18:00:00,19.0,70,0.0,1.1,0.0,26
2022-01-03 19:00:00,17.0,84,0.0,1.55,0.0,15
2022-01-03 20:00:00,16.1,90,0.0,2.34,0.0,0
