time,T_out,RH_out,I_solar,wind,rain,cloud
2023-01-01 00:00:00,13.4,100,0.0,0.61,0.0,16
2023-01-01 01:00:00,14.6,97,0.0,1.0,0.0,13
2023-01-01 02:00:00,14.7,97,0.0,1.3,0.0,16
2023-01-01 03:00:00,13.5,99,0.0,1.12,0.0,8
2023-01-01 04:00:00,12.4,100,0.0,1.28,0.0,3
2023-01-01 05:00:00,13.1,100,0.0,0.98,0.0,100
2023-01-01 06:00:00,12.5,100,2.0,0.73,0.0,100
2023-01-01 07:00:00,13.9,96,54.0,1.08,0.0,35
2023-01-01 08:00:00,15.9,84,169.0,0.54,0.0,7
2023-01-01 09:00:00,18.0,76,349.0,0.54,0.0,1
2023-01-01 10:00:00,19.6,71,484.0,0.92,0.0,3
2023-01-01 11:00:00,20.8,66,541.0,1.14,0.0,3
2023-01-01 12:00:00,21.7,61,536.0,1.17,0.0,1
2023-01-01 13:00:00,22.1,59,477.0,1.56,0.0,4
2023-01-01 14:00:00,21.9,60,350.0,2.2,0.0,3
2023-01-01 15:00:00,21.1,66,202.0,1.72,0.0,2
2023-01-01 16:00:00,18.1,81,61.0,1.86,0.0,2
2023-01-01 17:00:00,17.2,85,1.0,2.19,0.0,1
2023-01-01 18:00:00,16.0,89,0.0,2.4,0.0,4
2023-01-01 19:00:00,15.4,90,0.0,2.28,0.0,3
2023-01-01 20:00:00,16.4,86,0.0,1.72,0.0,3
2023-01-01 21:00:00,17.0,86,0.0,0.94,0.0,4
2023-01-01 22:00:00,15.6,92,0.0,1.49,0.0,4
2023-01-01 23:00:00,15.7,92,0.0,1.46,0.0,1
2023-01-02 00:00:00,14.5,96,0.0,1.66,0.0,0
2023-01-02 01:00:00,13.7,100,0.0,1.75,0.0,0
2023-01-02 02:00:00,12.5,100,0.0,1.27,0.0,100
2023-01-02 03:00:00,12.9,100,0.0,1.35,0.0,100
2023-01-02 04:00:00,13.4,95,0.0,1.56,0.0,18
2023-01-02 05:00:00,13.5,93,0.0,1.66,0.0,4
2023-01-02 06:00:00,13.4,95,2.0,1.0,0.0,7
2023-01-02 07:00:00,14.3,89,60.0,1.3,0.0,16
2023-01-02 08:00:00,15.9,86,188.0,1.75,0.0,10
2023-01-02 09:00:00,17.9,80,360.0,1.84,0.0,3
2023-01-02 10:00:00,19.8,72,483.0,2.1,0.0,2
2023-01-02 11:00:00,21.3,66,547.0,2.16,0.0,0
2023-01-02 12:00:00,22.3,62,547.0,2.52,0.0,0
2023-01-02 13:00:00,22.7,57,482.0,3.11,0.0,0
2023-01-02 14:00:00,22.4,56,362.0,3.42,0.0,0
2023-01-02 15:00:00,21.6,68,209.0,0.89,0.0,4
2023-01-02 16:00:00,18.5,77,62.0,2.06,0.0,33
