controller,water_L_per_m2_mean,water_L_per_m2_std,leaf_wet_hours_mean,leaf_wet_hours_std,alternaria_risk_mean,alternaria_risk_std,wallin_dsv_mean,wallin_dsv_std,pct_hours_achievable_vpd_band_mean,pct_hours_achievable_vpd_band_std,vent_actuations_mean,vent_actuations_std,fan_kWh_mean,fan_kWh_std,n_years
fixed,720.0,0.0,1453.0,55.861435713737265,28.6,10.310189135025604,23.4,11.148990985734988,12.314814814814815,1.7098319733906844,180.0,0.0,0.0,0.0,5
mpc,0.0,0.0,785.8,52.294359160429515,0.4,0.5477225575051661,2.0,0.7071067811865476,1.824074074074074,1.116211288512872,299.4,39.39923857132267,506.85,17.283120377987302,5
threshold,0.0,0.0,1037.6,57.52216963919215,1.2,1.3038404810405297,4.4,2.073644135332772,8.074074074074073,1.004533618897446,199.4,13.885243966167824,316.35,12.866623488701306,5
