timestamp,T_in,RH_in,VPD,ET_hr,ETc_hr,soil_pct,depletion,irrigation,rain,vent,leaf_wet,condensed,dsv_cumulative,runoff
2025-06-01 00:00:00,24.099143080098543,99.62100311408821,0.011376426335997277,0.003251437875442653,0.0,100.0,0.0,0.0,0.0,0.1,True,0.0,0,0.0
2025-06-01 01:00:00,24.139466251351646,99.5564413459096,0.013346624142743346,0.002735859829460812,0.0,100.0,0.0,0.0,0.0,0.6,True,0.0,0,0.0
2025-06-01 02:00:00,24.14147277109088,99.52800179934626,0.014204075258791138,0.0030533696012607523,0.0,100.0,0.0,0.0,0.0,0.6,True,0.0,0,0.0
2025-06-01 03:00:00,24.02384657919323,98.58234611859274,0.04236220699377228,0.009234604194918186,0.0008677580672912464,99.99872388519516,0.0008677580672912464,0.0,0.0,0.6,True,0.0,0,0.0
2025-06-01 04:00:00,23.864452750879632,98.12158142103634,0.055596058410770054,0.012370377913589796,0.0011840713200700372,99.99698260384211,0.0020518293873612835,0.0,0.0,0.6,True,0.0,0,0.0
2025-06-01 05:00:00,24.70755298195854,97.68861455660547,0.07195373615159321,0.02342380399014755,0.009794776951703579,99.98257852008962,0.011846606339064862,0.0,0.0,0.6,True,0.003135449970551041,0,0.0
2025-06-01 06:00:00,25.666766973017907,97.59436329642794,0.07928472574861525,0.02779359268246474,0.014087799534051823,99.97928264774404,0.014087799534051823,0.0,1.3,0.6,True,0.028687343378776264,0,1.2881533936609353
2025-06-01 07:00:00,26.313858606755105,96.32540422926607,0.12582963525860705,0.0570524751451445,0.03636093774488036,99.94652803272812,0.03636093774488036,0.0,1.7,0.6,True,0.0,0,2.974065594126883
2025-06-01 08:00:00,26.883204122182775,94.71072924751427,0.18729217358300135,0.07804866584560938,0.04716775856142023,99.93063564917438,0.04716775856142023,0.0,0.2,0.6,True,0.0,0,3.137704656382003
2025-06-01 09:00:00,31.18962895453569,86.79135992142815,0.5998467902014982,0.28303468942814014,0.20816123238026082,99.62451618979165,0.25532899094168104,0.0,0.0,0.6,False,0.0,1,3.137704656382003
2025-06-01 10:00:00,33.22157006385122,82.23022971580568,0.9050147292330164,0.4114015237753915,0.28070320523292347,99.21171735856676,0.5360321961746045,0.0,0.0,0.6,False,0.0,1,3.137704656382003
2025-06-01 11:00:00,32.32434006969005,79.34280198062267,1.000349240438645,0.42522417034123033,0.2591760327712028,98.83057613390322,0.7952082289458073,0.0,0.0,1.0,False,0.0,1,3.137704656382003
2025-06-01 12:00:00,31.625343505288715,79.84208729036395,0.93835703173496,0.3787722445975343,0.21870742232830961,98.50894757165571,1.013915651274117,0.0,0.0,1.0,False,0.0,1,3.137704656382003
2025-06-01 13:00:00,33.43662207859712,83.34550379883306,0.8584822671680031,0.38471914630760107,0.2576420147562902,98.13006225583763,1.2715576660304073,0.0,0.0,0.6,False,0.0,1,3.137704656382003
2025-06-01 14:00:00,33.129072485848724,78.27358467212785,1.1008079677480633,0.47589614343676845,0.30016591002101795,97.68864179992437,1.5717235760514252,0.0,0.0,1.0,False,0.0,1,3.137704656382003
2025-06-01 15:00:00,31.2566880894749,82.46621055102993,0.7993063995620476,0.3239076266878292,0.18095901481509433,97.42252560166689,1.7526825908665196,0.0,0.0,1.0,False,0.0,1,3.137704656382003
2025-06-01 16:00:00,30.48415766166991,88.01597756908096,0.5227823806560823,0.20274706334228043,0.10793513687764932,97.41085628272916,1.7606177277441688,0.0,0.1,0.6,False,0.0,1,3.137704656382003
2025-06-01 17:00:00,29.286405521043086,90.76898181065333,0.3759291173355415,0.1278991172723237,0.05315263375873458,97.33269064484867,1.8137703615029035,0.0,0.0,0.6,True,0.0,1,3.137704656382003
2025-06-01 18:00:00,27.51249300188644,93.83412435632357,0.22653129266523803,0.06189119474932353,0.008944129831167226,97.31953751274402,1.8227144913340707,0.0,0.0,0.6,True,0.0,1,3.137704656382003
2025-06-01 19:00:00,26.26564475088838,95.07233350147209,0.1682595065514202,0.040954994648720044,0.010535830576697736,97.30404364424888,1.8332503219107685,0.0,0.0,0.6,True,0.0,1,3.137704656382003
2025-06-01 20:00:00,25.361587485319095,95.34870876116177,0.1505460009258365,0.03565273676208008,0.005078203261415535,97.2965756982762,1.8383285251721841,0.0,0.0,0.6,True,0.0,1,3.137704656382003
2025-06-01 21:00:00,25.126460685479266,95.88615403484751,0.1313023645631669,0.029314067621510422,0.003161273117158217,97.43898559075097,1.7414897982893423,0.0,0.1,0.6,True,0.0,1,3.137704656382003
2025-06-01 22:00:00,24.938808507685295,94.37766210576136,0.17745503110268704,0.03848766179867664,0.005730245745709641,97.57761758230139,1.6472200440350517,0.0,0.1,0.6,True,0.0,1,3.137704656382003
2025-06-01 23:00:00,24.76339988778619,95.4864086623914,0.14097783168779376,0.03137451668727221,0.0019112152538355931,97.57480697163399,1.6491312592888874,0.0,0.0,0.6,True,0.0,1,3.137704656382003
2025-06-02 00:00:00,24.509233694622186,96.24997292147246,0.1153638457862824,0.0259754665221296,0.0036403916176795384,97.56945345454918,1.6527716509065669,0.0,0.0,0.6,True,0.0,1,3.137704656382003
2025-06-02 01:00:00,24.233846388252886,97.26010009982537,0.08291093093634508,0.019100434399144703,0.0012101082905812378,97.5676738835336,1.6539817591971482,0.0,0.0,0.6,True,0.0,1,3.137704656382003
2025-06-02 02:00:00,24.034994345742074,97.27933745641636,0.08135299961101772,0.01821535939914763,0.0007091303818785594,97.71368986826614,1.5546908895790266,0.0,0.1,0.6,True,0.0,1,3.137704656382003
2025-06-02 03:00:00,23.976440128068134,96.76848319942188,0.09628952168776542,0.020834368355738594,0.0018012386829969738,97.71104098784996,1.5564921282620234,0.0,0.0,0.6,True,0.0,1,3.137704656382003
2025-06-02 04:00:00,23.89898323354776,97.72108995588397,0.06758957893057373,0.015126037909844927,0.0005901420460986381,97.71017313189982,1.557082270308122,0.0,0.0,0.6,True,0.0,1,3.137704656382003
2025-06-02 05:00:00,24.0786494449235,96.9788343937207,0.0905755332595125,0.024504993227026196,0.00550882369728808,97.70207192058028,1.56259109400541,0.0,0.0,0.6,True,0.0,1,3.137704656382003
2025-06-02 06:00:00,24.977534058085517,94.89157792683743,0.16160703175066818,0.046334299102719766,0.022231401008520838,97.96349633086187,1.384822495013931,0.0,0.2,0.6,True,0.0,1,3.137704656382003
2025-06-02 07:00:00,24.897589945190074,96.02101567104512,0.12527853295692237,0.04562711522124842,0.0208830445417028,98.07984479477113,1.3057055395556336,0.0,0.1,0.6,True,0.0,1,3.137704656382003
2025-06-02 08:00:00,27.304610796982107,91.17377738701231,0.3203524519958604,0.14339107139434995,0.09829488091489413,97.93529349930805,1.4040004204705276,0.0,0.0,0.6,True,0.0,1,3.137704656382003
2025-06-02 09:00:00,27.758473673474167,89.29270142182477,0.39907142765581677,0.17708799307921796,0.11076099716549927,97.77240967994702,1.514761417636027,0.0,0.0,0.6,False,0.0,2,3.137704656382003
